Fleet,Origin,Destination,Cost
Fuso,Cilincing,jkt timur,1600000
Fuso,Cilincing,jkt barat,1600000
Fuso,Cilincing,jkt utara,1600000
Fuso,Cilincing,jkt slatan,1600000
Fuso,Cilincing,bkasi,1800000
Fuso,Cilincing,depok,1800000
Fuso,Cilincing,cikarang,1800000
Fuso,Cilincing,gng sindur,1900000
Fuso,Cilincing,tangrang,1800000
Tronton,Cilincing,jkt timur,2500000
Tronton,Cilincing,jkt barat,2500000
Tronton,Cilincing,jkt jkt utara,2500000
Tronton,Cilincing,jkt slatan,2500000
Tronton,Cilincing,bkasi,3450000
Tronton,Cilincing,depok,3450000
Tronton,Cilincing,cikarang,3450000
Tronton,Cilincing,gng sindur,3600000
Tronton,Cilincing,tangrang,3450000